"","H","L","S","B","n","C"
"351",1,0.5,40,2,10,0.24
"352",2,0.5,40,2,10,0.28
"353",1,0.6,40,2,10,0.766666666666667
"354",2,0.6,40,2,10,0.766666666666667
"355",1,0.7,40,2,10,0.714285714285714
"356",2,0.7,40,2,10,0.666666666666667
"357",1,0.8,40,2,10,1.71052631578947
"358",2,0.8,40,2,10,0.657894736842105
"359",1,0.9,40,2,10,1.86046511627907
"360",2,0.9,40,2,10,1.97674418604651
"361",1,0.1,40,1,11,0
"362",2,0.1,40,1,11,0
"363",1,0.2,40,1,11,0.125
"364",2,0.2,40,1,11,0.375
"365",1,0.3,40,1,11,0.2
"366",2,0.3,40,1,11,0.266666666666667
"367",1,0.4,40,1,11,0.117647058823529
"368",2,0.4,40,1,11,0.294117647058824
"369",1,0.5,40,1,11,0.428571428571429
"370",2,0.5,40,1,11,0.19047619047619
"371",1,0.6,40,1,11,1.83333333333333
"372",2,0.6,40,1,11,0.708333333333333
"373",1,0.7,40,1,11,0.722222222222222
"374",2,0.7,40,1,11,0.527777777777778
"375",1,0.8,40,1,11,0.891891891891892
"376",2,0.8,40,1,11,2.21621621621622
"377",1,0.9,40,1,11,1.4
"378",2,0.9,40,1,11,1.95555555555556
"379",1,0.1,40,2,11,0
"380",2,0.1,40,2,11,0.25
"381",1,0.2,40,2,11,0.125
"382",2,0.2,40,2,11,0.75
"383",1,0.3,40,2,11,0.285714285714286
"384",2,0.3,40,2,11,0.0952380952380952
"385",1,0.4,40,2,11,0.294117647058824
"386",2,0.4,40,2,11,0.941176470588235
"387",1,0.5,40,2,11,0.521739130434783
"388",2,0.5,40,2,11,0.217391304347826
"389",1,0.6,40,2,11,0.542857142857143
"390",2,0.6,40,2,11,0.2
"391",1,0.7,40,2,11,1.14285714285714
"392",2,0.7,40,2,11,0.342857142857143
"393",1,0.8,40,2,11,1.10526315789474
"394",2,0.8,40,2,11,1.07894736842105
"395",1,0.9,40,2,11,3.90196078431373
"396",2,0.9,40,2,11,2.3921568627451
"397",1,0.1,40,1,12,0.5
"398",2,0.1,40,1,12,0
"399",1,0.2,40,1,12,0
"400",2,0.2,40,1,12,0.375
"401",1,0.3,40,1,12,0.714285714285714
"402",2,0.3,40,1,12,0.285714285714286
"403",1,0.4,40,1,12,0.705882352941177
"404",2,0.4,40,1,12,0.0588235294117647
"405",1,0.5,40,1,12,1.13636363636364
"406",2,0.5,40,1,12,0.272727272727273
"407",1,0.6,40,1,12,1.19230769230769
"408",2,0.6,40,1,12,0.192307692307692
"409",1,0.7,40,1,12,0.606060606060606
"410",2,0.7,40,1,12,1.15151515151515
"411",1,0.8,40,1,12,1.35897435897436
"412",2,0.8,40,1,12,0.923076923076923
"413",1,0.9,40,1,12,0.894736842105263
"414",2,0.9,40,1,12,0.842105263157895
"415",1,0.1,40,2,12,0.25
"416",2,0.1,40,2,12,0.25
"417",1,0.2,40,2,12,0.125
"418",2,0.2,40,2,12,0.125
"419",1,0.3,40,2,12,0.285714285714286
"420",2,0.3,40,2,12,0.857142857142857
"421",1,0.4,40,2,12,0.315789473684211
"422",2,0.4,40,2,12,0.105263157894737
"423",1,0.5,40,2,12,0.625
"424",2,0.5,40,2,12,0.5
"425",1,0.6,40,2,12,0.764705882352941
"426",2,0.6,40,2,12,0.617647058823529
"427",1,0.7,40,2,12,0.727272727272727
"428",2,0.7,40,2,12,0.666666666666667
"429",1,0.8,40,2,12,3.15909090909091
"430",2,0.8,40,2,12,1.70454545454545
"431",1,0.9,40,2,12,2.22448979591837
"432",2,0.9,40,2,12,2.61224489795918
"433",1,0.1,40,1,13,0
"434",2,0.1,40,1,13,0
"435",1,0.2,40,1,13,0
"436",2,0.2,40,1,13,0.125
"437",1,0.3,40,1,13,0.307692307692308
"438",2,0.3,40,1,13,0.307692307692308
"439",1,0.4,40,1,13,0.625
"440",2,0.4,40,1,13,0.4375
"441",1,0.5,40,1,13,0.6
"442",2,0.5,40,1,13,0.45
"443",1,0.6,40,1,13,0.482758620689655
"444",2,0.6,40,1,13,0.448275862068966
"445",1,0.7,40,1,13,1.12121212121212
"446",2,0.7,40,1,13,0.606060606060606
"447",1,0.8,40,1,13,0.617647058823529
"448",2,0.8,40,1,13,1.02941176470588
"449",1,0.9,40,1,13,2.53061224489796
"450",2,0.9,40,1,13,2.16326530612245
"451",1,0.1,40,2,13,0
"452",2,0.1,40,2,13,0.25
"453",1,0.2,40,2,13,0.125
"454",2,0.2,40,2,13,0.25
"455",1,0.3,40,2,13,0.142857142857143
"456",2,0.3,40,2,13,0.5
"457",1,0.4,40,2,13,0.238095238095238
"458",2,0.4,40,2,13,0.0476190476190476
"459",1,0.5,40,2,13,0.448275862068966
"460",2,0.5,40,2,13,0.137931034482759
"461",1,0.6,40,2,13,0.821428571428571
"462",2,0.6,40,2,13,0.321428571428571
"463",1,0.7,40,2,13,2.10526315789474
"464",2,0.7,40,2,13,1.21052631578947
"465",1,0.8,40,2,13,1.19512195121951
"466",2,0.8,40,2,13,1.80487804878049
"467",1,0.9,40,2,13,1.33333333333333
"468",2,0.9,40,2,13,1.52083333333333
"469",1,0.1,40,1,14,0
"470",2,0.1,40,1,14,0
"471",1,0.2,40,1,14,0.25
"472",2,0.2,40,1,14,0
"473",1,0.3,40,1,14,0.461538461538462
"474",2,0.3,40,1,14,0.0769230769230769
"475",1,0.4,40,1,14,0.210526315789474
"476",2,0.4,40,1,14,0.421052631578947
"477",1,0.5,40,1,14,0.608695652173913
"478",2,0.5,40,1,14,0.304347826086957
"479",1,0.6,40,1,14,0.48
"480",2,0.6,40,1,14,0.52
"481",1,0.7,40,1,14,0.454545454545455
"482",2,0.7,40,1,14,1.57575757575758
"483",1,0.8,40,1,14,0.692307692307692
"484",2,0.8,40,1,14,0.692307692307692
"485",1,0.9,40,1,14,1.48888888888889
"486",2,0.9,40,1,14,1.48888888888889
"487",1,0.1,40,2,14,0
"488",2,0.1,40,2,14,0
"489",1,0.2,40,2,14,0
"490",2,0.2,40,2,14,0
"491",1,0.3,40,2,14,0.2
"492",2,0.3,40,2,14,0.333333333333333
"493",1,0.4,40,2,14,0.526315789473684
"494",2,0.4,40,2,14,0.210526315789474
"495",1,0.5,40,2,14,0.6
"496",2,0.5,40,2,14,0.4
"497",1,0.6,40,2,14,0.692307692307692
"498",2,0.6,40,2,14,0.5
"499",1,0.7,40,2,14,0.871794871794872
"500",2,0.7,40,2,14,1.64102564102564
